	16depth	25depth
K21071	8553.0	3067.0
K02030	10828.0	4759.0
K01077	2827.0	1318.0
K08676	12065.0	3967.0
K00198	5624.0	265.0
K02501	1896.0	1060.0
K01658	2313.0	1097.0
K00226	1511.0	369.0
K04079	3386.0	1759.0
K03665	6014.0	2767.0
K00215	3634.0	1682.0
K03649	363.0	205.0
K15726	11072.0	5038.0
K00231	2558.0	1384.0
K07484	10060.0	3923.0
K18703	2141.0	1385.0
K03572	7275.0	3241.0
K03685	2077.0	1004.0
K01873	12337.0	5585.0
K03918	392.0	182.0
K02276	2924.0	2240.0
K15509	1263.0	452.0
K02335	13652.0	7300.5
K02990	1008.0	562.0
K01925	5723.0	2672.0
K13485	192.0	99.0
K07043	1430.0	664.0
K09749	614.0	219.0
K01778	4155.0	1960.0
K09816	1750.0	837.0
K07686	172.0	57.0
K07239	1612.0	911.0
K07262	962.0	241.0
K03655	10876.0	4650.0
K21394	275.0	117.0
K08884	10280.0	6331.0
K02428	2890.0	1244.0
K03310	5697.0	3012.0
K00615	16128.0	6595.0
K00590	1916.0	972.5
K00575	3382.0	1321.0
K07814	10689.0	3916.0
K17828	3753.5	1562.5
K00261	5610.0	2810.0
K03711	1792.0	822.0
K17686	14345.0	7590.0
K07254	59.0	40.0
K15923	6480.0	925.0
K03092	4647.0	2104.0
K03696	7363.0	2748.0
K00773	5735.0	2531.0
K00334	3915.0	981.0
K09181	4232.0	1421.0
K00256	1105.0	378.0
K01724	924.0	780.0
K01443	3587.0	1621.0
K03828	204.0	127.0
K19421	1772.0	660.0
K00820	10385.0	4913.0
K21511	77.0	78.0
K03453	1711.0	640.0
K11406	103.0	60.0
K08138	562.0	192.0
K01870	13615.0	6250.0
K03517	3935.0	1551.0
K13587	15657.0	4328.0
K13863	59.0	43.0
K20534	3260.0	1424.0
K07716	3469.0	2596.0
K14157	862.0	147.0
K00284	3187.0	2514.0
K10823	3759.0	1809.0
K11752	5130.0	2413.0
K07735	1556.0	1033.0
K11180	2346.0	117.0
K02484	2426.0	1114.0
K00852	3700.0	1298.0
K01079	1201.0	708.0
K00098	324.0	136.0
K05308	224.0	36.0
K00609	4500.0	2182.0
K05994	1217.0	368.0
K13990	1830.0	551.0
K07029	1963.0	791.0
K02474	1509.0	963.0
K06287	2974.0	1568.0
K03499	6705.0	2903.0
K01468	5647.0	3133.0
K16787	473.99999999999994	95.83333333333331
